127.0.0.1 - - [05/Jan/2021:10:26:53 +0900] "GET / HTTP/1.1" 200 15566
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:24 +0900] "GET /dealight/search/?region=%EB%82%B4+%EC%A3%BC%EB%B3%80&lat=37.570414&lng=126.985320&pNum=2 HTTP/1.1" 200 56005
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:24 +0900] "GET /resources/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:24 +0900] "GET /resources/css/alert_manager.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:24 +0900] "GET /resources/css/main_header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:24 +0900] "GET /resources/css/main_footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:24 +0900] "GET /resources/css/selectbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:24 +0900] "GET /resources/css/map.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:24 +0900] "GET /resources/icon/d2.png HTTP/1.1" 200 33881
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:25 +0900] "GET /dealight/isCurWait/.json HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.98532&distance=0.5&sortType=D&sortPriority=&openStore=true&userId= HTTP/1.1" 200 5216
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/waitcnt/151 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/waitcnt/137 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/waitcnt/140 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/waitcnt/145 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/waitcnt/138 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/waitcnt/147 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/waitcnt/144 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/waitcnt/150 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:26 +0900] "GET /dealight/waitcnt/146 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:28:27 +0900] "GET /display?fileName=storeImgs/2021/01/04/9f6ef1f1-ff45-449f-9a30-c7ab727c5a19_1.jpg HTTP/1.1" 200 -
