127.0.0.1 - - [24/Dec/2020:15:25:41 +0900] "GET / HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /dealight/store/13 HTTP/1.1" 200 38461
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/css/main_footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/css/main_header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/css/alert_manager.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/images/store/%EA%B9%A1%ED%86%B5%EB%A7%8C%EB%91%902.jpg HTTP/1.1" 200 9865
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/images/store/%EA%B9%A1%ED%86%B5%EB%A7%8C%EB%91%903.jpg HTTP/1.1" 200 11478
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/images/store/%EA%B9%A1%ED%86%B5%EB%A7%8C%EB%91%904.jpg HTTP/1.1" 200 12651
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/images/store/%EA%B9%A1%ED%86%B5%EB%A7%8C%EB%91%906.jpg HTTP/1.1" 200 12190
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/images/store/%EA%B9%A1%ED%86%B5%EB%A7%8C%EB%91%905.jpg HTTP/1.1" 200 11214
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:43 +0900] "GET /resources/images/store/%EA%B9%A1%ED%86%B5%EB%A7%8C%EB%91%901.jpg HTTP/1.1" 200 12702
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:44 +0900] "GET /revws/pages/13/1.json HTTP/1.1" 404 158
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:44 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:44 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:44 +0900] "GET /dealight/store/htdl/get/101.json HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:58 +0900] "GET /dealight/dealight HTTP/1.1" 200 32475
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:58 +0900] "GET /resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:58 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:58 +0900] "GET /dealight/1.jpg HTTP/1.1" 404 158
0:0:0:0:0:0:0:1 - - [24/Dec/2020:15:25:58 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
