0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:29:19 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:29:19 +0900] "GET /dealight/search/ HTTP/1.1" 200 34654
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:29:19 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:29:20 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:29:20 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:29:21 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:30:56 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:30:56 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:30:57 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:30:57 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:20 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:20 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:20 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:20 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
