127.0.0.1 - - [17/Dec/2020:09:58:05 +0900] "GET / HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:14 +0900] "GET /dealight/search/ HTTP/1.1" 200 26999
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:14 +0900] "GET /resources/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:14 +0900] "GET /resources/css/main_footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:14 +0900] "GET /resources/css/main_header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:14 +0900] "GET /resources/css/alert_manager.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:14 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:14 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:14 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:14 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:15 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:15 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:17 +0900] "GET /dealight/getlist?pageNum=1&amount=20&lat=37.570414&lng=126.985320&distance=1&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 4484
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:51 +0900] "GET /dealight/search/ HTTP/1.1" 200 26999
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:51 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:51 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:51 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:51 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:52 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:52 +0900] "GET /dealight/getlist?pageNum=1&amount=20&lat=37.570414&lng=126.985320&distance=1&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 4484
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:58:52 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:59:16 +0900] "GET /dealight/search/ HTTP/1.1" 200 26999
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:59:17 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:59:17 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:59:17 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:59:17 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:59:17 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
